"Durability_Map","json object","NA","NA","NA","The time, in days, since the intervention was distributed and a multiplier for the **Initial_Effect**.",".. code-block:: json

    {
      ""Durability_Map"": {
        ""Times"": [
          1,
          2,
          5,
          7
        ],
        ""Values"": [
          1,
          0.75,
          0.5,
          0.25
        ]
      }
    }
"
"Initial_Effect","float","0","1","1","The multiplier used to define the magnitude of the shape of the curve, as specified when using the parameters with the **WaningEffectMapLinear** class.",".. code-block:: json

    {
      ""Waning_Config"": {
        ""Durability_Map"": {
          ""Times"": [
            0,
            30,
            60,
            90,
            120
          ],
          ""Values"": [
            0.9,
            0.3,
            0.9,
            0.6,
            1
          ]
        },
        ""Expire_At_Durability_Map_End"": 0,
        ""Initial_Effect"": 1,
        ""class"": ""WaningEffectMapLinear""
      }
    }
"
"Times","array of floats","0","999999","[]","An array of days.",".. code-block:: json

    {
      ""Durability_Map"": {
        ""Times"": [
          0,
          385,
          390,
          10000
        ],
        ""Values"": [
          0,
          0.0,
          0.5,
          0.5
        ]
      }
    }
"
"Values","array of floats","0","3.40282e+38","[]","An array of values to match the defined **Times**.",".. code-block:: json

    {
      ""Times"": [
        1998,
        2000,
        2003,
        2006,
        2009
      ],
      ""Values"": [
        0,
        0.26,
        0.08,
        0.14,
        0.54
      ]
    }
"
