"Air_Migration_Filename","string","NA","NA","""""","The path to the input file that defines patterns of migration by airplane. **Enable_Air_Migration** must be set to true (1). See :doc:`software-migration` for information on migration files.",".. code-block:: json

    {
        ""Migration_Model"": ""FIXED_RATE_MIGRATION"",
        ""Enable_Air_Migration"": 1,
        ""Air_Migration_Filename"": ""../Global_1degree_air_migration.bin""
    }
"
"Air_Migration_Roundtrip_Duration","float","0","10000","1","The average time spent (in days) at the destination node during a round-trip migration by airplane. **Migration_Pattern** must be set to SINGLE_ROUND_TRIPS.",".. code-block:: json

    {
        ""Migration_Model"": ""FIXED_RATE_MIGRATION"",
        ""Enable_Air_Migration"": 1,
        ""Migration_Pattern"": ""SINGLE_ROUND_TRIPS"",
        ""Air_Migration_Roundtrip_Duration"": 2
    }
"
"Air_Migration_Roundtrip_Probability","float","0","1","0.8","The likelihood that an individual who flies to another node will return to the node of origin during the next migration. **Enable_Air_Migration** must be set to true (1).",".. code-block:: json

    {
        ""Migration_Model"": ""FIXED_RATE_MIGRATION"",
        ""Enable_Air_Migration"": 1,
        ""Air_Migration_Roundtrip_Probability"": 0.9
    }
"
"Enable_Air_Migration","boolean","0","1","0","Controls whether or not migration by air travel will occur. **Migration_Model** must be set to FIXED_RATE_MIGRATION.",".. code-block:: json

    {
        ""Migration_Model"": ""FIXED_RATE_MIGRATION"",
        ""Enable_Air_Migration"": 1,
        ""Air_Migration_Filename"": ""../inputs/air_migration.bin""
    }
"
"Enable_Family_Migration","boolean","0","1","0","Controls whether or not all members of a household can migrate together when a MigrateFamily event occurs. All residents must be home before they can leave on the trip. **Migration_Model** must be set to FIXED_RATE_MIGRATION.",".. code-block:: json

    {
        ""Enable_Migration"": ""FIXED_RATE_MIGRATION"",
        ""Enable_Family_Migration"": 1,
        ""Family_Migration_Filename"": ""../inputs/family_migration.bin""
    }
"
"Enable_Local_Migration","boolean","0","1","0","Controls whether or not local migration (the diffusion of people in and out of nearby nodes by foot travel) occurs. **Migration_Model** must be set to FIXED_RATE_MIGRATION.",".. code-block:: json

    {
        ""Migration_Model"": ""FIXED_RATE_MIGRATION"",
        ""Enable_Local_Migration"": 1,
        ""Local_Migration_Filename"": ""../inputs/local_migration.bin""
    }
"
"Enable_Migration_Heterogeneity","boolean","0","1","1","Controls whether or not migration rate is heterogeneous among individuals within each group that has a migration rate setting. Set to true (1) to apply a migration rate distribution (see :ref:`demo-nodeattributes` demographics parameters); set to false (0) to use the same migration rate applied to all individuals in the group. For example, if you are using a migration file that sets different migration rates for each age group in a node, you could apply an Gaussian distribution around a mean value in each age group or you could assign the same value to each individual in each age group. 

**Migration_Model** must be set to FIXED_RATE_MIGRATION.",".. code-block:: json

    {
        ""Migration_Model"": ""FIXED_RATE_MIGRATION"",
        ""Enable_Migration_Heterogeneity"": 1
    }
"
"Enable_Regional_Migration","boolean","0","1","0","Controls whether or not there is migration by road or rail network into and out of nodes in the simulation. **Migration_Model** must be set to FIXED_RATE_MIGRATION. ",".. code-block:: json

    {
        ""Migration_Model"": ""FIXED_RATE_MIGRATION"",
        ""Enable_Regional_Migration"": 1,
        ""Regional_Migration_Filename"": ""../inputs/regional_migration.bin""
    }
"
"Enable_Sea_Migration","boolean","0","1","0","Controls whether or not there is migration on ships into and out of coastal cities with seaports. **Migration_Model** must be set to FIXED_RATE_MIGRATION.",".. code-block:: json

    {
        ""Migration_Model"": ""FIXED_RATE_MIGRATION"",
        ""Enable_Sea_Migration"": 1,
        ""Sea_Migration_Filename"": ""../inputs/sea_migration.bin""
    }
"
"Enable_Vector_Migration","boolean","0","1","0","Controls whether or not vectors can migrate. **Vector_Sampling_Type** must be set to  TRACK_ALL_VECTORS or SAMPLE_IND_VECTORS. Specific migration types must be enabled or disabled. ",".. code-block:: json

    {
        ""Vector_Sampling_Type"": ""TRACK_ALL_VECTORS"",
        ""Enable_Vector_Migration"": 1,
        ""Enable_Vector_Migration_Local"": 1,
        ""Vector_Migration_Filename_Local"": ""../inputs/vector_local.bin""
    }
"
"Enable_Vector_Migration_Local","boolean","0","1","0","Controls whether or not vectors may migrate to adjacent nodes. **Enable_Vector_Migration** must be set to true (1). ",".. code-block:: json

    {
        ""Vector_Sampling_Type"": ""TRACK_ALL_VECTORS"",
        ""Enable_Vector_Migration"": 1,
        ""Enable_Vector_Migration_Local"": 1,
        ""Vector_Migration_Filename_Local"": ""../inputs/vector_local.bin""
    }
"
"Enable_Vector_Migration_Regional","boolean","0","1","0","Controls whether or not vectors can migration to non-adjacent nodes. **Enable_Vector_Migration** must be set to true (1).",".. code-block:: json

    {
        ""Vector_Sampling_Type"": ""TRACK_ALL_VECTORS"",
        ""Enable_Vector_Migration"": 1,
        ""Enable_Vector_Migration_Regional"": 1,
        ""Vector_Migration_Filename_Regional"": ""../inputs/vector_regional.bin""
    }
"
"Family_Migration_Filename","string","NA","NA","""""","The name of the binary file to use to configure family migration. **Enable_Family_Migration** must be set to true (1). See :doc:`software-migration` for information on migration files.",".. code-block:: json

    {
        ""Migration_Model"": ""FIXED_RATE_MIGRATION"",
        ""Enable_Family_Migration"": 1,
        ""Family_Migration_Filename"": ""../inputs/family_migration.bin""
    }
"
"Family_Migration_Roundtrip_Duration","float","0","10000","1","The number of days to complete the trip and return to the original node. **Migration_Pattern** must be set to SINGLE_ROUND_TRIPS.",".. code-block:: json

    {
        ""Migration_Model"": ""FIXED_RATE_MIGRATION"",
        ""Migration_Pattern"": ""SINGLE_ROUND_TRIPS"",
        ""Enable_Family_Migration"": 1,
        ""Family_Migration_Roundtrip_Duration"": 100
    }
"
"Local_Migration_Filename","string","NA","NA","""""","The path of the input file which defines patterns of migration to adjacent nodes by foot travel. See :doc:`software-migration` for information on migration files.",".. code-block:: json

    {
        ""Local_Migration_Filename"": ""Local_Migration.bin""
    }
"
"Local_Migration_Roundtrip_Duration","float","0","10000","1","The average time spent (in days) at the destination node during a round-trip migration by foot travel. **Migration_Pattern** must be set to SINGLE_ROUND_TRIPS.",".. code-block:: json

    {
        ""Enable_Local_Migration"": 1,
        ""Migration_Pattern"": ""SINGLE_ROUND_TRIPS"",
        ""Local_Migration_Roundtrip_Duration"": 1.0
    }
"
"Local_Migration_Roundtrip_Probability","float","0","1","0.95","The likelihood that an individual who walks into a neighboring node will return to the node of origin during the next migration. Only used when **Enable_Local_Migration** is set to true (1).",".. code-block:: json

    {
        ""Local_Migration_Roundtrip_Probability"": 1.0
    }
"
